,country,n_mention,pos,neg
123,Jordan,28.0,0.04582142857142856,0.02839285714285714
124,Armenia,68.0,0.09999999999999998,0.030220588235294128
125,Somalia,6.0,0.13416666666666668,0.009
126,New Zealand,1.0,0.0,0.0
127,"Korea, Republic of",104.0,0.06094230769230771,0.08452884615384613
128,Sierra Leone,6.0,0.11216666666666668,0.010666666666666666
129,"Micronesia, Federated States of",127.0,0.038881889763779535,0.007149606299212599
130,Azerbaijan,13.0,0.03776923076923077,0.031384615384615386
131,Dominican Republic,1.0,0.058,0.0
132,Puerto Rico,10.0,0.0736,0.07790000000000001
133,Sri Lanka,3.0,0.09499999999999999,0.11266666666666668
134,Kenya,24.0,0.074625,0.06179166666666667
135,"Macedonia, Republic of",4.0,0.066,0.13825
136,Thailand,1.0,0.0,0.0
137,Bahrain,1.0,0.098,0.0
138,Guinea,1.0,0.235,0.0
139,Barbados,1.0,0.0,0.0
140,Israel,888.0,0.09911261261261263,0.077375
141,Falkland Islands (Malvinas),18.0,0.022000000000000002,0.053277777777777785
142,Bangladesh,4.0,0.09525,0.0
143,Brazil,41.0,0.084,0.04104878048780488
144,Tunisia,22.0,0.14086363636363639,0.04381818181818182
145,Denmark,28.0,0.0854642857142857,0.08532142857142858
146,Jamaica,2.0,0.0,0.0
147,Guatemala,1.0,0.106,0.0
148,British Indian Ocean Territory,1.0,0.077,0.014
149,Iraq,213.0,0.07315492957746479,0.09326291079812207
150,Philippines,4.0,0.11975,0.0
151,Kazakhstan,4.0,0.13275,0.0
152,Latvia,4.0,0.23424999999999999,0.034499999999999996
153,Greece,20.0,0.0578,0.0728
154,Uzbekistan,3.0,0.03833333333333334,0.0
155,Iceland,21.0,0.07752380952380952,0.05928571428571428
156,New Caledonia,1.0,0.092,0.082
157,United States,524.0,0.08899618320610686,0.04988549618320609
158,Czechia,2.0,0.158,0.0
159,South Africa,3.0,0.08966666666666667,0.0
160,Samoa,1.0,0.048,0.0
161,Belgium,24.0,0.04395833333333333,0.01995833333333334
162,Bahamas,2.0,0.1885,0.037
163,Canada,14.0,0.13399999999999998,0.04385714285714286
164,Syrian Arab Republic,30.0,0.06573333333333335,0.05033333333333333
165,Northern Mariana Islands,14.0,0.08707142857142856,0.03478571428571429
166,Monaco,1.0,0.053,0.0
167,Japan,40.0,0.08255000000000001,0.029075
168,Ecuador,10.0,0.14740000000000003,0.0749
