height,weight,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,skin_colour,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
177.0,72.0,144.0,65.0,32.0,47.0,10.0,21.0,1.0,2.0,0.375,116.67421272412172,0.05885762693009488,0.0005346820851021094,0.001203034691479746,0.1141960699308235,0.09339523159245579,0.0010873942811115583,0.002446637132501006,0.20593819519879872
179.0,82.0,427.0,183.0,101.0,143.0,88.0,33.0,0.0,2.0,0.75,95.58904971680302,0.0204508322670389,0.0,0.0017523209078105415,0.07528888247641262,0.013637910007729816,0.0,-0.000520141038910026,-0.0026396566643147813
182.0,71.0,654.0,247.0,179.0,228.0,9.0,19.0,0.0,0.0,0.125,19.0,0.011767731961570872,0.0,0.0,0.011767731961570872,0.018964605224197423,0.0,0.0,0.018964605224197423
187.0,80.0,285.0,138.0,57.0,90.0,28.0,50.0,4.0,3.0,0.125,276.2242266044793,0.05478756675143888,0.0062569721662247635,0.008396163378449681,0.5245544543653351,0.08506623903073468,0.011986474408674218,0.018192363128764474,1.050962058890962
180.0,68.0,214.0,88.0,54.0,72.0,11.0,34.0,0.0,0.0,1.0,34.0,0.04978773593206035,0.0,0.0,0.04978773593206035,0.07737245286922913,0.0,0.0,0.07737245286922913
193.0,80.0,100.0,50.0,20.0,30.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0015138050000536578,0.0,0.0,0.0015138050000536578,0.0030792188965634844,0.0,0.0,0.0030792188965634844
180.0,70.0,296.0,125.0,72.0,99.0,7.0,57.0,1.0,0.0,0.0,90.0851630073187,0.05179925178598972,0.00038737418025629574,0.0,0.06461558968459573,0.05408146598793594,0.00038661322485650294,0.0,0.06687262755309849
177.0,74.0,249.0,95.0,70.0,84.0,3.0,37.0,1.0,0.0,0.0,70.0851630073187,0.04992161954017744,0.0012843527575943474,0.0,0.09241463988408571,0.06394914815030078,0.002042698998418555,0.0,0.1315321774878653
181.0,74.0,320.0,130.0,71.0,119.0,56.0,55.0,1.0,4.0,0.5,213.26326244092473,0.05852735701788166,0.0014509834596669008,0.00612637460748247,0.29825536374762424,0.07045810014298869,0.0014481331568978492,0.006114339995790919,0.30971518668625453
187.0,80.0,295.0,159.0,54.0,82.0,21.0,27.0,2.0,3.0,0.0,187.05390058984193,0.022564590490702155,0.0007382196549182478,0.00497624926956156,0.2027180645767755,0.02733752320577034,0.0007367695008778532,0.0058945429027317505,0.23618058163958788
