index,weight,yellowCards,skin_colour,defeats,yellowReds,ties,goals,games,redCards,victories,height,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
42,68.0,39,0.125,46,2,52,11,175,1,77,170.0,136.50013084801657,0.07466340076233596,0.0027840609279982166,0.001093738221713585,0.20104826013692384,0.09258511410308035,0.0027958487723662474,0.0010983691605724543,0.21950509289183073
43,73.0,36,0.25,52,0,41,45,197,1,104,175.0,67.3058527375708,0.06294370543576328,0.0,0.0035131649005931205,0.1729263284565341,0.12113185731422883,0.0,0.005860999168425768,0.3046154341759909
44,68.0,22,0.25,50,1,36,1,136,0,50,175.0,55.09713905522289,0.054267302859092724,0.006351474766843793,0.0,0.26448294642306114,0.05416070051116264,0.006338997969817001,0.0,0.2639633977889715
45,80.0,50,0.125,90,4,57,28,285,3,138,187.0,276.30611443360397,0.05478756675143888,0.0062569721662247635,0.008396163378449681,0.5247244988879697,0.08506623903073468,0.011986474408674218,0.018192363128764474,1.0513116903740094
47,66.0,32,0.25,54,0,30,16,141,0,57,174.0,32.0,0.08782570955489574,0.0,0.0,0.08782570955489574,0.1396824103677029,0.0,0.0,0.1396824103677029
48,72.0,3,0.875,13,0,15,2,34,0,6,180.0,3.0,0.0326689683726724,0.0,0.0,0.0326689683726724,0.03564455622815241,0.0,0.0,0.03564455622815241
50,77.0,5,0.125,10,0,5,4,20,0,5,185.0,5.0,0.09247339854679301,0.0,0.0,0.09247339854679301,0.14707432788613597,0.0,0.0,0.14707432788613597
53,68.0,8,0.0,26,0,12,3,68,1,30,180.0,39.3058527375708,0.03512301465235281,0.0,0.004867020976147001,0.18748925660227886,0.053714849149960116,0.0,0.007740754099270314,0.2960457570594641
54,92.0,48,0.5,47,0,81,38,371,2,243,188.0,110.6117054751416,0.04561833486827937,0.0,0.0010493187833553656,0.0784681541747694,0.058550018602425424,0.0,0.0012680926662451545,0.09824874086948973
55,75.0,18,0.25,58,1,26,12,138,0,54,174.0,51.09713905522289,0.029264688518709274,0.0016805714264165616,0.0,0.08488679471105251,0.036159753911414606,0.0021222800507231143,0.0,0.10640115186432302
56,85.0,25,0.125,57,1,43,36,185,0,85,183.0,58.09713905522289,0.048446744842553555,0.001934644612889201,0.0,0.11247794661778533,0.04961094609778512,0.0019308442091971324,0.0,0.11351636538355446
57,72.0,2,0.0,26,0,7,2,58,0,25,183.0,2.0,0.013287953788528461,0.0,0.0,0.013287953788528461,0.013261851015801357,0.0,0.0,0.013261851015801357
58,92.0,42,0.0,103,4,90,31,325,3,132,193.0,268.30611443360397,0.05326168583449458,0.006799689203153468,0.0009395522880777699,0.3077254304933731,0.06519371145229473,0.009669625804984695,0.0009377066374809041,0.41458636723586456
59,83.0,11,0.125,111,0,96,0,322,1,115,188.0,42.3058527375708,0.0117202906609556,0.0,0.0005274051454787922,0.028231158478351774,0.016322499032982114,0.0,0.0006158424908424906,0.03560197336083592
60,84.0,39,0.0,136,2,85,106,342,0,121,196.0,105.19427811044578,0.03463041884256143,0.00990026636372306,0.0,0.3623009113664495,0.03595719830364939,0.010334514248982464,0.0,0.3780000534704043
62,72.0,14,0.0,31,1,23,6,103,0,49,173.0,47.09713905522289,0.04961105263568494,0.005961770680797938,0.0,0.24692860587340515,0.08397986657518133,0.01318027210884354,0.0,0.5202091653472518
63,83.0,1,0.125,26,0,22,0,89,0,41,189.0,1.0,0.0054294864942374356,0.0,0.0,0.0054294864942374356,0.005418820845166146,0.0,0.0,0.005418820845166146
64,68.0,34,1.0,72,0,54,11,214,0,88,180.0,34.0,0.04978773593206035,0.0,0.0,0.04978773593206035,0.07737245286922913,0.0,0.0,0.07737245286922913
65,70.0,33,0.625,65,0,53,68,229,2,111,176.0,95.6117054751416,0.037230551282505096,0.0,0.008402789861884799,0.30028705328342353,0.033283304940852985,0.0,0.009128001965929562,0.31904319027450057
66,73.0,18,0.75,45,2,31,42,153,1,77,174.0,115.50013084801658,0.037173254498488746,0.0016708489423873428,0.006228616485183145,0.287465724728904,0.06897658790479995,0.0016779233950680581,0.008545408119839984,0.39203234001753134
67,80.0,77,0.0,102,7,57,16,255,4,96,183.0,433.90338433684343,0.10226506068802656,0.012855305130562543,0.00507328659661651,0.6865624452807435,0.17196505829133735,0.01736764452841296,0.008068809280255353,0.9993853594051206
68,73.0,60,0.375,91,2,67,96,373,2,215,170.0,188.80598358558737,0.058479792947502524,0.0015438626391986864,0.0052213266298817675,0.2730353119690603,0.09661006549416241,0.002279323413188531,0.008709238416578993,0.44469928477810466
69,73.0,25,0.25,85,0,51,53,227,0,91,175.0,25.0,0.04724691287096651,0.0,0.0,0.04724691287096651,0.07514385828131988,0.0,0.0,0.07514385828131988
70,68.0,18,1.0,49,0,21,7,108,1,38,174.0,49.3058527375708,0.05295418798202441,0.0,0.0013599029198057796,0.0955271085268567,0.08422099467093107,0.0,0.0021628577630314113,0.15193110129270423
73,68.0,27,0.25,43,0,27,3,116,2,46,169.0,89.6117054751416,0.09157162645100878,0.0,0.006732563252854419,0.3023402601912499,0.11318579778027801,0.0,0.00671933784800602,0.3235403989439404
74,79.0,91,1.0,116,5,109,24,420,2,195,190.0,319.0974007512561,0.07331100218518355,0.003018068355425085,0.003297158043397559,0.27642077438195645,0.09053590721463588,0.004719996058098693,0.0035557102540579237,0.3580688146806401
75,88.0,0,0.5,7,0,14,0,47,0,26,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76.0,43,0.25,50,0,34,3,114,2,30,183.0,105.6117054751416,0.13836760375149765,0.0,0.008219857648603824,0.39569725682248397,0.22006677209629233,0.0,0.013073273589878753,0.6293367498990102
78,80.0,45,0.25,99,3,78,4,257,0,80,178.0,144.29141716566866,0.074477965677377,0.004099805846902153,0.0,0.21016980989171352,0.11845348950578619,0.006520536704311447,0.0,0.3342645995230671
