games,goals,height,skin_colour,redCards,ties,victories,defeats,yellowReds,yellowCards,weight,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
255,16,183.0,0.0,4,57,96,102,7,77,80.0,433.90338433684343,0.09062429305165633,0.013446415807431314,0.004503024722505934,0.6766332156609692,0.10248816856873436,0.015482359594552573,0.005234376149802434,0.778776585891373
373,96,170.0,0.375,2,67,215,91,2,60,73.0,188.80598358558737,0.053300274349705766,0.0013095123830402441,0.004605555779953224,0.24082223880760872,0.060057857348437875,0.0016110370973211234,0.005241850160465304,0.2774791653775365
227,53,175.0,0.25,0,51,91,85,0,25,73.0,25.0,0.04193613206514618,0.0,0.0,0.04193613206514618,0.048747120663066065,0.0,0.0,0.048747120663066065
108,7,174.0,1.0,1,21,38,49,0,18,68.0,49.3058527375708,0.04700188193631973,0.0,0.0012070432749014116,0.0847894009482585,0.054635616050179844,0.0,0.001403083242769171,0.09856033342686482
77,18,178.0,0.0,1,23,22,32,0,8,77.0,39.3058527375708,0.05374596082082633,0.0,0.008486204340130475,0.3194138241938851,0.06489735560080322,0.0,0.010246950884337351,0.38568689099498915
148,1,186.0,0.75,0,36,48,64,1,42,81.0,75.0971390552229,,,,,,,,
116,3,169.0,0.25,2,27,46,43,0,27,68.0,89.6117054751416,0.10292578122311444,0.0,0.007637583906117427,0.3420268582588674,0.11798422567100351,0.0,0.009222255795903614,0.40669480752577086
420,24,190.0,1.0,2,109,195,116,5,91,79.0,319.0974007512561,0.07880616239179186,0.0027327391474805895,0.00398319194939098,0.2939492305507198,0.09227563881131896,0.0031722091042756103,0.004581964731276896,0.34070899777387054
47,0,190.0,0.5,0,14,26,7,0,0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,3,183.0,0.25,2,34,30,50,0,43,76.0,105.6117054751416,0.12281441795589472,0.0,0.007295906017181866,0.35121897731694696,0.14276112164946175,0.0,0.00848085871184921,0.4082616355707574
321,150,186.0,0.125,5,58,162,101,0,27,87.0,183.52926368785398,,,,,,,,
257,4,178.0,0.25,0,78,80,99,3,45,80.0,144.29141716566866,0.06610628324267095,0.0036389679026584427,0.0,0.18654570993445027,0.07684282758389081,0.004229984948644004,0.0,0.2168432276306612
55,2,180.0,0.375,0,12,19,24,1,9,69.0,42.09713905522289,0.06089670468909378,0.008213053145997622,0.0,0.3327252667301129,0.07098358784487732,0.005239383027785622,0.0,0.2443921764790728
136,32,182.0,0.125,0,27,50,59,0,9,71.0,9.0,0.03820558495868302,0.0,0.0,0.03820558495868302,0.04337652823544267,0.0,0.0,0.04337652823544267
29,3,182.0,0.25,0,10,9,10,0,5,80.0,5.0,0.03820558495868302,0.0,0.0,0.03820558495868302,0.04337652823544267,0.0,0.0,0.04337652823544267
213,4,181.0,1.0,3,51,109,53,0,28,75.0,121.9175582127124,0.047083401934494284,0.0,0.002031211750820191,0.11067221788449454,0.053243343020186414,0.0,0.002392427143152532,0.12814031484908683
126,5,192.0,0.375,1,37,45,44,4,40,86.0,203.69440895846236,0.09800605186260818,0.008207894269329599,0.001709977972777,0.42319618844542356,0.11376020145205079,0.009540966050830364,0.001987701260589659,0.49176556450784775
101,11,168.0,0.25,0,22,47,32,0,1,67.0,1.0,0.00435516687866667,0.0,0.0,0.00435516687866667,0.00629112112431033,0.0,0.0,0.00629112112431033
99,12,186.0,0.625,0,27,41,31,2,19,81.0,85.19427811044578,,,,,,,,
274,5,192.0,0.0,4,65,98,111,9,93,85.0,516.0976624472892,0.0918858303801639,0.010042889144822681,0.004678753998843758,0.570749112605672,0.10650306891742158,0.010728968417031188,0.004667181984796422,0.6077113404504777
406,23,181.0,0.25,2,83,229,94,2,62,75.0,190.8059835855874,0.04763458747884911,0.002675988697806648,0.0025143578935011702,0.21491627546385694,0.05055172083123726,0.0028188134237231047,0.003013560689492699,0.2381884678479205
230,21,182.0,0.0,4,57,101,72,1,62,73.0,220.3205500055061,0.08590717169732207,0.0011560414463844507,0.001913890839014257,0.1840848209638754,0.09776605628099495,0.0013437980353282202,0.0022247323029322757,0.21188906857450296
100,0,193.0,0.25,0,20,50,30,0,1,80.0,1.0,0.0016687731060452216,0.0,0.0,0.0016687731060452216,0.0015498523160429967,0.0,0.0,0.0015498523160429967
32,1,188.0,0.5,0,7,5,20,2,3,81.0,69.19427811044578,0.02747266459141205,0.024432703750919608,0.0,0.8361252581306642,0.03066295990400035,0.02712926877406318,0.0,0.9285641409856856
220,13,176.0,0.75,0,27,148,45,0,19,69.0,19.0,0.033425329250419335,0.0,0.0,0.033425329250419335,0.035922729619367696,0.0,0.0,0.035922729619367696
248,56,176.0,0.75,1,67,107,74,0,45,72.0,76.3058527375708,,,,,,,,
50,2,173.0,0.75,0,14,21,15,1,9,75.0,42.09713905522289,0.09345328261849753,0.003208415168287888,0.0,0.19964264559020808,0.0998920294460203,0.0038422546899339336,0.0,0.227059667204346
136,32,180.0,0.25,2,28,60,48,1,15,74.0,110.70884453036449,0.04218432971402067,0.0011101139398426493,0.008880911518741194,0.3569504333292422,0.05093687794249089,0.0013404441563813394,0.010723553251050715,0.43101172348289735
128,11,187.0,0.0,1,24,51,53,1,35,79.0,99.4029917927937,0.11249348650545798,0.005231221853505086,0.002615610926752543,0.3675158941113328,0.13495232382080985,0.0063166135588380926,0.0031583067794190463,0.4428876480723448
270,21,184.0,0.75,3,82,89,99,2,53,76.0,213.11183632315817,0.0693380531260196,0.0014844128619513769,0.004698036496421551,0.2655439107460918,0.08119415717483376,0.0017776665367389142,0.005626158653117546,0.3161615280078056
303,101,186.0,0.125,0,94,115,94,0,31,84.0,31.0,0.03760068297058497,0.0,0.0,0.03760068297058497,0.04309395053949253,0.0,0.0,0.04309395053949253
198,28,180.0,0.5,1,47,108,43,0,44,74.0,75.3058527375708,,,,,,,,
139,4,178.0,0.25,0,34,52,53,1,22,72.0,55.09713905522289,,,,,,,,
262,85,184.0,0.0,1,55,137,70,0,11,74.0,42.3058527375708,0.018782384896941225,0.0,0.0004589894174349415,0.03315144000726292,0.02211857236707747,0.0,0.0005542221031192077,0.03946896791123416
98,0,189.0,0.25,1,31,31,36,0,4,86.0,35.3058527375708,0.01735814524117597,0.0,0.003471629048235194,0.12604045298470004,0.020959672263417304,0.0,0.0041919344526834615,0.1521917549246752
63,1,186.0,0.875,1,15,35,13,0,6,78.0,37.3058527375708,0.04324803943082565,0.0,0.006147384313629009,0.23569714747454817,0.049419871198852314,0.0,0.004021038872117285,0.1753019219814038
296,7,180.0,0.0,0,72,125,99,1,57,70.0,90.0971390552229,0.057543499316723576,0.00043944671496648025,0.0,0.07208792834933007,0.06945578791243646,0.0005306246142637293,0.0,0.08701794455684711
460,76,184.0,0.25,1,122,188,150,0,62,82.0,93.3058527375708,0.050431394936109424,0.0,0.0002510711343233868,0.05829139089389222,0.058493127362027,0.0,0.0003031642273472589,0.06798394201865973
294,39,172.0,0.25,1,74,132,88,4,62,69.0,225.69440895846236,0.0744871411440111,0.0028459831628486346,0.0023285316786943373,0.24157771146160886,0.08994198657319279,0.0034364774307228917,0.002811663352409639,0.29170107681612417
296,19,185.0,0.0,1,69,153,74,0,23,77.0,54.3058527375708,0.03140746777321268,0.0,0.0008039562006439397,0.05657600219802879,0.036773321972507586,0.0,0.0009707637679898544,0.06716390953616731
148,32,179.0,0.0,0,37,50,61,0,12,72.0,12.0,0.04016438259034397,0.0,0.0,0.04016438259034397,0.04211930759033274,0.0,0.0,0.04211930759033274
378,45,169.0,0.125,0,83,178,117,1,46,67.0,79.0971390552229,,,,,,,,
99,3,187.0,0.25,0,17,43,39,0,17,83.0,17.0,0.05441863966112297,0.0,0.0,0.05441863966112297,0.06325695440294125,0.0,0.0,0.06325695440294125
358,85,172.0,0.0,2,92,188,78,0,34,69.0,96.6117054751416,0.03261062835109426,0.0,0.0022940844135608315,0.10442889716958607,0.03514691466741979,0.0,0.0021914526313822915,0.10375220802683584
238,56,188.0,0.0,0,55,94,89,4,38,84.0,170.38855622089156,0.053089581462113226,0.004405933117387425,0.0,0.19891336251629663,0.06138321311707769,0.00556198357332561,0.0,0.24546895686630088
462,121,174.0,0.0,1,111,198,153,2,61,81.0,158.50013084801657,0.0445603024341621,0.0024866298567666643,0.0008374543756707704,0.1530778599416208,0.04766149352835104,0.0026086306175069018,0.001011212258322765,0.16565656586516783
158,17,183.0,0.25,1,33,67,58,0,15,76.0,46.3058527375708,0.04082286666855102,0.0,0.0007894483388166588,0.06553722010746525,0.04687944834310577,0.0,0.0009021087599790501,0.07512073233628253
213,58,191.0,0.25,2,48,86,79,0,29,76.0,91.6117054751416,0.050343406373900244,0.0,0.006631366046059933,0.25794397526077967,0.05837157185681822,0.0,0.007577713583824021,0.29559835739950296
378,134,170.0,0.0,0,101,149,128,2,30,70.0,96.19427811044578,0.03461598091874852,0.0032965070643260473,0.0,0.1437209336232723,0.03983983365462878,0.004002943002941141,0.0,0.17232579485310326
389,9,180.0,0.25,2,93,157,139,5,87,71.0,315.09740075125603,0.06329473661110256,0.0018711483104410388,0.0003166778594388078,0.13513826286755548,0.07140498543948567,0.002175047816185466,0.00036811057828137406,0.15491686101835359
392,69,180.0,0.25,3,79,243,70,3,62,70.0,255.20897537838107,,,,,,,,
177,43,172.0,0.5,0,44,64,69,1,18,68.0,51.09713905522289,0.06329473661110256,0.0018711483104410388,0.0003166778594388078,0.13513826286755548,0.07140498543948567,0.002175047816185466,0.00036811057828137406,0.15491686101835359
179,11,192.0,0.25,0,45,74,60,0,27,84.0,27.0,0.04863839240778407,0.0,0.0,0.04863839240778407,0.05474732244549926,0.0,0.0,0.05474732244549926
179,1,175.0,1.0,1,44,91,44,0,32,64.0,63.3058527375708,,,,,,,,
313,46,184.0,0.25,3,81,84,148,0,27,73.0,120.9175582127124,0.026144011630168548,0.0,0.002803993088251599,0.11392540632813951,0.031188197388935333,0.0,0.003357936871875034,0.1363112746019143
54,0,184.0,0.25,0,12,27,15,0,3,81.0,3.0,0.02177949938158742,0.0,0.0,0.02177949938158742,0.02542085709160105,0.0,0.0,0.02542085709160105
186,20,174.0,0.0,0,60,61,65,0,19,65.0,19.0,0.025550841642187808,0.0,0.0,0.025550841642187808,0.030598546628815334,0.0,0.0,0.030598546628815334
563,9,180.0,0.25,1,138,285,140,1,91,77.0,155.4029917927937,0.05260664840448669,0.00016411330784081267,0.0002324938527744846,0.06531674769225512,0.06120437923735989,0.0001965347667485388,0.00027842425289376327,0.07642542640128241
219,58,176.0,0.25,0,53,94,72,0,29,68.0,29.0,0.027980120510174736,0.0,0.0,0.027980120510174736,0.032524466218242835,0.0,0.0,0.032524466218242835
216,14,184.0,0.0,3,60,87,69,3,43,78.0,236.20897537838107,0.05625078179381803,0.00578476628861045,0.007361420164459235,0.4781655316578687,0.06253785092809525,0.006609337659291664,0.008437136990828127,0.5454197866621694
317,5,178.0,0.375,0,68,120,129,0,31,78.0,31.0,0.04140280728123858,0.0,0.0,0.04140280728123858,0.05025773905851014,0.0,0.0,0.05025773905851014
139,11,180.0,0.125,0,36,39,64,0,24,74.0,24.0,0.0610732097363931,0.0,0.0,0.0610732097363931,0.06399954777062847,0.0,0.0,0.06399954777062847
344,16,176.0,0.25,3,92,138,114,2,61,74.0,221.11183632315817,0.04049949264523871,0.004682432414365514,0.0013518884678895811,0.23779663067354861,0.04694907282174176,0.004648000677967034,0.0015714532319014718,0.24998028105107412
113,8,190.0,1.0,3,26,40,47,1,24,85.0,151.01469726793528,0.08817086137653748,0.005534481091389439,0.0064568946066210125,0.4734849433536479,0.10321486674470469,0.00668279405500262,0.0077965930641697235,0.5684752251822065
249,3,177.0,0.0,0,70,95,84,1,37,74.0,70.0971390552229,0.054835448377657546,0.0011399853151846664,0.0,0.09256570087523654,0.06283097696053518,0.0013251341737264392,0.0,0.10668912697518705
344,36,175.0,0.75,3,68,171,105,3,48,70.0,241.20897537838107,0.047858679993890534,0.004506268985591725,0.008146958301876027,0.4520507680879186,0.051864914400747655,0.004402861948216304,0.008592078813591558,0.4665694025897116
172,31,173.0,0.125,1,43,65,64,0,45,72.0,76.3058527375708,0.09303271762878709,0.0,0.007635250483097301,0.3320607448670976,0.10814247496212495,0.0,0.008875317256586385,0.38599184999603914
199,35,184.0,0.25,1,40,73,86,1,37,82.0,101.4029917927937,0.053435929863232236,0.0027823370404507115,0.005564674080901423,0.31973019309880385,0.0602250352899774,0.003234225779942496,0.006468451559884992,0.3697690476385906
370,1,184.0,0.0,4,90,143,137,1,36,80.0,194.3205500055061,0.04270403538795283,0.0005790401600937989,0.0017195738087634029,0.11570133251366663,0.048880686740701146,0.0006730840247499375,0.0019988555886513294,0.1337337210056878
364,6,184.0,0.25,0,71,244,49,5,85,79.0,250.48569527611446,0.05284874104114089,0.003711739574657909,0.0,0.1756967018803675,0.061269804322918925,0.0045599653240375,0.0,0.21219161073958256
385,71,177.0,0.0,3,84,209,92,1,75,76.0,202.01469726793528,0.057795993617827605,0.0008646287185588242,0.0024736279440346464,0.16385176269059684,0.07056561902498765,0.0012489725761498447,0.0035969055270423335,0.22450723279452076
240,73,190.0,0.875,2,68,88,84,1,22,96.0,117.70884453036449,,,,,,,,
270,36,189.0,0.25,0,72,100,98,2,35,76.0,101.19427811044578,0.036722679707001736,0.0027689281872437205,0.0,0.12836628095413335,0.04330342432501044,0.003218639149677713,0.0,0.149831171830478
521,170,180.0,0.25,2,80,347,94,2,50,80.0,178.80598358558737,0.03446698590189371,0.001526301628127095,0.0007076389267000662,0.10713644315887422,0.03831502245080764,0.0017655394493698506,0.0008203257672079548,0.12243032477913024
148,3,185.0,0.625,0,40,48,60,1,10,82.0,43.09713905522289,0.018572002055610708,0.003261327563636033,0.0,0.12651261393390378,0.022121470064874492,0.0037267443854872235,0.0,0.1454660472146163
219,15,172.0,0.75,0,60,78,81,0,10,67.0,10.0,0.01058739549824503,0.0,0.0,0.01058739549824503,0.012525309876586253,0.0,0.0,0.012525309876586253
328,95,181.0,1.0,0,61,160,107,0,12,81.0,12.0,0.007751210209236651,0.0,0.0,0.007751210209236651,0.00908459545793974,0.0,0.0,0.00908459545793974
148,5,185.0,0.25,2,30,52,66,4,48,77.0,243.00026169603316,0.1026267299533231,0.012599837694146312,0.004319944352278737,0.6548848519166617,0.11929468317485609,0.014646219814871173,0.005021561079384402,0.761246908684933
31,0,186.0,0.0,0,7,18,6,0,2,81.0,2.0,0.02409954914972639,0.0,0.0,0.02409954914972639,0.02614132785704165,0.0,0.0,0.02614132785704165
390,12,166.0,1.0,2,95,147,148,2,66,67.0,194.8059835855874,0.05258735731567944,0.0012162362212240652,0.0019948090532178205,0.1552904951131413,0.059713602790787815,0.0014242528138677258,0.002332861210749037,0.17988450574206089
