goals,birthday,skin_colour,victories,leagueCountry,weight,ties,position,yellowCards,redCards,defeats,yellowReds,height,games,club
9,1981,0,157,3,71,93,9,87,2,139,5,180,389,62
69,1988,0,243,3,70,79,8,62,3,70,3,180,392,63
43,1987,0,64,3,68,44,2,18,0,69,1,172,177,41
11,1982,0,74,3,84,45,1,27,0,60,0,192,179,65
1,1986,1,91,3,64,44,4,32,1,44,0,175,179,18
46,1984,0,84,1,73,81,11,27,3,148,0,184,313,84
0,1990,0,27,1,81,12,5,3,0,15,0,184,54,55
20,1987,0,61,1,65,60,7,19,0,65,0,174,186,49
9,1979,0,285,1,77,138,9,91,1,140,1,180,563,55
58,1991,0,94,3,68,53,8,29,0,72,0,176,219,65
14,1982,0,87,0,78,60,1,43,3,69,3,184,216,90
5,1985,0,120,0,78,68,1,31,0,129,0,178,317,58
11,1987,0,39,2,74,36,3,24,0,64,0,180,139,69
16,1981,0,138,3,74,92,6,61,3,114,2,176,344,59
8,1993,1,40,2,85,26,1,24,3,47,1,190,113,85
3,1984,0,95,3,74,70,9,37,0,84,1,177,249,66
36,1985,1,171,0,70,68,11,48,3,105,3,175,344,47
31,1984,0,65,3,72,43,4,45,1,64,0,173,172,67
35,1980,0,73,3,82,40,2,37,1,86,1,184,199,67
1,1979,0,143,3,80,90,5,36,4,137,1,184,370,23
6,1983,0,244,3,79,71,9,85,0,49,5,184,364,63
71,1987,0,209,3,76,84,8,75,3,92,1,177,385,10
73,1984,1,88,2,96,68,2,22,2,84,1,190,240,28
36,1984,0,100,3,76,72,2,35,0,98,2,189,270,59
170,1984,0,347,2,80,80,11,50,2,94,2,180,521,12
3,1989,1,48,0,82,40,6,10,0,60,1,185,148,58
15,1985,1,78,1,67,60,4,10,0,81,0,172,219,55
95,1983,1,160,0,81,61,2,12,0,107,0,181,328,90
5,1989,0,52,3,77,30,1,48,2,66,4,185,148,18
0,1994,0,18,3,81,7,5,2,0,6,0,186,31,9
12,1983,1,147,2,67,95,6,66,2,148,2,166,390,85
59,1988,0,62,2,81,30,11,17,0,65,1,183,157,38
0,1980,0,190,0,88,84,5,24,0,90,0,193,364,73
45,1990,0,70,2,81,35,2,26,1,66,1,185,171,39
0,1989,0,62,3,85,31,5,5,0,55,1,189,148,10
56,1986,0,131,0,74,71,8,55,4,119,1,181,321,34
16,1980,0,404,0,67,146,6,106,3,112,1,170,662,21
77,1985,1,193,0,65,114,7,57,2,113,1,180,420,47
1,1987,0,69,0,83,52,5,11,1,72,0,198,193,78
13,1986,1,94,2,89,60,1,21,1,87,3,190,241,87
