goals,birthday,skin_colour,victories,leagueCountry,weight,ties,position,yellowCards,redCards,defeats,yellowReds,height,games,club
19,1991,0,43,2,70,50,0,38,1,64,1,184,157,87
3,1986,0,200,3,74,53,4,74,0,75,2,178,328,83
3,1982,0,170,3,69,85,6,117,3,132,4,176,387,72
238,1984,0,313,0,70,135,2,74,1,148,5,183,596,21
31,1978,0,133,2,79,92,6,34,0,130,0,181,355,15
6,1992,0,29,2,76,12,8,8,1,17,0,182,58,2
14,1980,0,176,1,64,127,4,86,4,107,0,170,410,42
105,1980,1,338,0,73,137,8,64,0,129,3,181,604,21
3,1993,0,53,2,82,23,6,10,0,21,0,187,97,87
2,1986,0,57,1,70,43,6,15,0,46,1,176,146,36
24,1983,0,58,1,68,60,0,13,0,61,0,179,179,84
2,1991,0,50,0,73,23,4,9,1,35,2,178,108,6
3,1983,1,129,1,72,92,9,52,0,71,3,180,292,42
127,1983,0,286,2,72,93,7,46,3,87,3,170,466,12
3,1981,0,72,1,69,75,6,35,0,108,1,173,255,76
21,1989,0,52,0,78,52,2,20,1,73,0,194,177,90
10,1989,0,29,3,81,18,0,8,0,24,0,187,71,60
5,1990,0,52,3,69,29,4,25,1,55,2,174,136,67
9,1983,0,122,1,77,67,9,30,0,58,0,186,247,5
265,1978,0,523,0,77,197,3,86,2,194,2,183,914,21
45,1987,1,74,0,82,47,2,21,0,73,1,172,194,79
82,1978,0,132,0,77,118,2,32,4,139,3,188,389,89
25,1983,0,186,3,74,85,4,112,0,112,7,180,383,10
81,1986,0,131,0,76,97,11,39,0,114,0,178,342,8
7,1989,0,85,0,79,38,11,4,0,45,0,186,168,51
9,1983,0,108,0,79,66,1,59,3,104,4,188,278,88
43,1989,0,115,3,64,68,10,44,0,82,0,167,265,37
2,1985,0,237,0,72,86,6,49,0,66,1,176,389,46
33,1981,0,87,1,65,78,7,20,1,102,1,176,267,84
3,1988,1,73,1,74,50,6,28,0,65,0,183,188,84
2,1986,0,25,3,75,23,9,30,1,46,3,182,94,26
4,1989,0,31,3,79,9,1,35,0,33,2,188,73,60
93,1989,0,162,0,74,78,8,32,1,96,0,183,336,80
65,1981,0,314,0,78,170,3,105,2,196,2,184,680,46
45,1986,1,39,2,79,21,2,24,0,39,2,187,99,69
4,1985,0,84,0,75,47,6,32,0,87,0,178,218,52
7,1988,0,61,1,74,35,9,29,3,41,0,180,137,49
31,1985,0,153,0,71,76,1,43,4,131,0,188,360,21
17,1982,0,174,0,74,101,1,69,7,162,2,180,437,90
28,1987,0,121,3,76,74,4,77,10,105,6,171,300,72
15,1985,0,88,3,71,54,7,28,0,83,2,178,225,35
0,1980,0,52,1,82,49,5,9,1,58,0,183,159,56
29,1980,0,116,1,66,66,7,46,1,95,0,171,277,75
0,1986,0,79,1,73,53,5,10,1,58,0,181,190,49
6,1993,1,57,3,76,27,4,21,1,37,0,188,121,72
9,1986,0,90,2,74,66,9,47,1,70,3,188,226,85
2,1981,0,157,0,74,96,6,64,1,157,1,180,410,89
91,1978,1,259,2,85,125,11,76,2,153,2,180,537,74
0,1982,0,66,3,78,46,5,13,0,50,0,186,162,23
7,1985,0,61,3,84,46,1,41,1,94,2,190,201,59
30,1993,0,39,2,82,24,2,0,0,35,0,193,98,33
88,1987,1,157,0,68,83,11,32,2,101,0,179,341,6
12,1991,0,17,1,74,20,2,11,1,26,0,180,63,42
1,1983,1,102,2,80,58,1,40,2,85,2,186,245,28
37,1977,0,223,0,83,103,0,66,1,115,1,176,441,34
53,1989,1,109,3,74,57,11,20,0,85,0,175,251,59
35,1989,1,53,2,77,36,7,30,2,36,1,181,125,28
17,1984,1,219,0,70,93,9,59,0,104,2,178,416,43
11,1983,0,136,3,83,62,1,51,1,89,3,190,287,67
23,1984,0,156,0,76,107,3,65,1,149,1,178,412,78
0,1981,0,188,0,82,68,5,12,1,76,0,191,332,80
0,1988,0,13,3,82,9,1,14,0,23,1,186,45,67
34,1987,0,177,2,74,78,10,76,1,116,3,171,371,11
177,1987,0,246,3,82,66,2,39,1,66,1,184,378,63
6,1985,0,102,0,71,64,1,45,6,87,1,178,253,88
6,1984,0,84,0,89,43,6,40,1,74,2,189,201,88
2,1991,0,71,2,74,46,9,13,1,56,0,176,173,85
20,1987,0,112,0,77,42,3,47,1,59,0,179,213,58
8,1992,0,78,2,82,37,3,27,0,34,1,185,149,15
5,1984,0,105,1,76,83,1,36,2,97,2,187,285,30
76,1980,0,94,1,70,97,2,15,1,119,0,183,310,84
5,1989,0,63,1,69,40,7,15,0,35,1,181,138,36
14,1988,0,175,1,69,54,1,33,0,47,3,172,276,57
0,1987,0,62,3,80,41,5,14,0,38,0,190,141,83
52,1984,0,71,1,80,56,2,15,0,48,1,191,175,57
20,1980,0,117,3,77,82,4,92,0,112,4,181,311,9
12,1985,0,109,3,82,69,1,70,5,112,4,184,290,20
1,1978,0,75,3,87,55,5,24,0,94,0,188,224,41
12,1981,1,177,0,83,87,9,61,1,107,1,187,371,89
0,1986,1,43,1,79,45,5,3,0,44,0,184,132,4
64,1989,0,98,0,77,51,0,15,0,78,0,186,227,80
10,1986,0,85,2,69,39,4,31,0,69,0,177,193,11
24,1981,0,181,2,80,103,4,104,0,171,1,182,455,0
8,1984,0,70,3,80,36,3,35,0,62,1,187,168,37
39,1987,0,123,0,69,64,7,15,1,74,0,177,261,51
7,1990,0,72,2,85,46,4,17,0,66,1,188,184,15
16,1988,0,130,3,80,76,1,65,3,96,0,184,302,26
15,1985,0,140,3,84,57,4,42,0,68,3,183,265,72
25,1980,0,119,2,86,54,1,15,1,103,0,189,276,25
41,1983,0,194,2,87,101,1,44,0,156,0,190,451,38
24,1985,0,99,2,78,56,6,37,0,74,2,174,229,74
0,1978,0,60,2,94,52,5,11,1,68,0,196,180,1
96,1982,0,172,3,74,95,2,58,1,127,2,182,394,67
5,1984,1,91,1,77,65,6,41,0,92,1,180,248,49
20,1990,1,59,1,73,51,11,1,0,36,0,174,146,36
12,1983,1,79,1,87,53,1,46,1,52,1,188,184,36
44,1992,0,68,2,76,27,11,8,0,66,0,183,161,38
0,1975,0,31,0,85,9,5,2,0,13,0,189,53,21
19,1977,0,146,1,73,105,1,37,4,94,0,182,345,49
28,1989,0,70,2,63,47,0,8,0,80,0,172,197,0
11,1989,0,142,2,83,52,1,37,1,48,1,190,242,12
1,1985,0,61,2,74,38,6,36,1,30,0,184,129,86
0,1986,0,182,0,73,116,5,6,2,97,0,186,395,80
1,1991,0,68,3,69,38,9,43,2,52,2,173,158,20
17,1990,0,45,0,67,15,7,12,0,43,0,173,103,80
15,1989,0,34,3,72,25,8,5,0,43,0,177,102,9
49,1986,0,196,2,76,61,0,32,0,39,0,180,296,31
32,1988,1,94,2,62,50,7,27,2,79,1,172,223,85
2,1989,1,62,1,64,40,4,19,1,26,0,174,128,42
2,1992,0,19,0,85,1,1,2,0,11,0,193,31,6
95,1983,0,166,2,83,90,2,43,1,101,0,187,357,15
6,1989,0,23,3,65,20,0,5,0,34,0,170,77,9
0,1981,0,525,3,84,136,5,23,1,139,1,185,800,63
75,1980,0,94,1,69,71,11,21,3,109,1,180,274,68
51,1992,0,58,2,91,32,2,14,1,55,0,191,145,74
6,1991,0,52,2,72,26,1,14,0,41,2,183,119,69
58,1984,0,401,3,65,106,7,47,0,68,0,170,575,29
9,1991,0,60,3,77,28,1,33,4,37,1,181,125,65
2,1988,0,37,3,74,16,3,17,0,31,0,178,84,9
0,1992,0,27,2,76,22,5,1,1,27,0,190,76,28
0,1981,0,135,3,81,72,5,21,0,115,0,191,322,9
34,1982,0,180,3,75,106,9,55,0,169,1,182,455,9
5,1981,0,105,3,70,62,4,76,5,93,1,179,260,37
6,1991,0,30,3,74,6,11,4,0,7,0,181,43,29
41,1992,0,100,3,74,30,0,16,0,34,2,176,164,50
0,1985,1,4,2,94,10,5,2,0,11,0,202,25,74
1,1989,0,71,3,75,45,4,55,0,60,1,187,176,9
152,1980,0,225,2,82,102,2,38,1,148,2,186,475,1
2,1988,0,38,3,74,17,6,17,0,34,0,181,89,67
67,1989,0,123,2,80,59,0,28,0,67,3,187,249,16
70,1988,0,202,3,75,84,0,41,0,104,2,184,390,72
43,1989,0,46,2,84,37,2,20,0,48,0,190,131,69
122,1979,0,204,2,85,92,8,26,0,87,0,183,383,86
43,1986,0,99,2,63,55,7,25,2,92,1,174,246,38
27,1989,0,69,2,75,37,3,19,0,50,0,183,156,28
0,1993,0,24,0,64,16,6,10,2,29,1,168,69,43
11,1991,0,73,0,70,38,4,17,1,40,0,188,151,46
11,1992,0,93,0,65,28,0,25,1,44,1,170,165,6
4,1991,0,16,2,72,9,10,6,0,21,0,185,46,38
0,1980,0,44,3,80,28,5,7,1,27,0,188,99,66
7,1990,0,29,3,74,26,7,19,1,68,2,176,123,37
6,1989,0,58,0,77,21,3,18,0,60,0,180,139,80
46,1985,0,159,2,71,73,10,22,0,79,1,175,311,16
2,1987,0,59,1,69,29,4,26,2,32,0,181,120,49
17,1983,0,117,0,83,93,1,54,1,125,1,188,335,89
15,1989,0,48,0,70,42,8,16,0,51,1,180,141,79
55,1986,0,265,0,67,121,10,60,1,152,0,170,538,46
7,1989,0,77,0,74,45,1,19,1,79,1,191,201,89
4,1978,0,408,0,83,175,1,96,3,175,0,185,758,43
16,1984,0,98,2,81,52,1,40,0,96,1,189,246,28
7,1990,0,75,2,82,31,1,18,0,37,0,195,143,1
10,1989,0,52,2,75,19,0,22,0,42,0,180,113,28
0,1982,0,77,0,87,33,5,10,0,46,0,189,156,27
21,1981,0,160,2,77,76,4,46,1,88,3,181,324,86
29,1986,0,82,2,76,47,0,18,0,76,1,186,205,69
50,1983,0,125,2,72,55,8,31,1,102,0,180,282,39
40,1987,0,200,0,79,73,4,66,1,88,1,189,361,80
5,1992,0,57,2,78,20,1,26,0,48,1,181,125,38
7,1989,0,31,2,97,19,1,16,0,19,0,201,69,39
10,1992,0,46,2,96,34,1,20,0,36,0,197,116,2
0,1979,0,82,2,90,50,5,16,0,83,0,192,215,38
33,1982,0,197,1,72,146,10,51,1,145,1,183,488,36
93,1978,1,138,0,89,82,2,39,5,127,2,186,347,61
10,1984,0,92,3,74,50,4,74,0,96,1,181,238,60
14,1987,0,158,0,82,42,4,66,2,51,1,186,251,46
92,1983,0,87,3,77,66,2,39,1,78,1,179,231,66
3,1989,0,29,3,72,15,3,11,0,22,2,177,66,72
8,1986,0,45,3,73,26,3,36,0,41,2,178,112,59
30,1988,0,184,2,81,71,4,92,3,102,2,190,357,12
2,1990,0,16,3,69,2,3,2,0,10,0,174,28,65
0,1982,0,47,3,73,30,5,9,0,43,0,182,120,20
5,1984,0,310,3,74,100,4,112,3,84,6,174,494,29
50,1989,0,140,1,78,45,0,22,1,62,2,187,247,57
10,1983,0,125,2,77,91,6,95,3,117,1,179,333,0
165,1981,0,286,3,60,106,2,36,2,98,1,168,490,50
3,1989,1,59,1,78,46,9,19,2,58,3,180,163,77
31,1984,0,130,0,81,74,7,45,3,103,1,178,307,90
14,1993,1,33,1,76,23,2,7,1,35,0,182,91,24
31,1983,1,193,1,65,129,4,68,2,118,2,172,440,77
14,1981,0,104,1,75,73,1,61,3,89,3,183,266,5
132,1984,1,231,2,84,94,8,55,0,117,0,178,442,31
0,1988,0,60,2,86,34,5,3,0,35,0,193,129,2
16,1988,0,112,2,86,46,4,20,0,66,1,193,224,11
36,1977,0,162,2,78,93,1,69,2,146,2,185,401,33
8,1979,0,151,1,76,91,1,47,0,116,0,186,358,24
6,1984,0,154,1,61,91,4,40,1,80,0,174,325,5
23,1983,0,160,3,83,116,6,64,0,116,1,192,392,83
53,1987,0,174,1,73,85,8,66,1,99,1,182,358,57
9,1984,0,89,1,71,87,6,30,1,76,1,172,252,56
6,1983,0,203,3,77,110,4,97,0,105,2,183,418,50
225,1982,1,256,0,65,133,2,52,3,175,2,170,564,80
44,1983,0,189,0,76,108,3,49,1,126,0,179,423,53
27,1981,0,166,2,81,82,4,122,1,111,9,184,359,31
16,1983,0,140,0,64,81,10,34,0,142,1,173,363,91
7,1988,1,215,2,90,70,1,66,5,74,2,192,359,12
1,1988,1,36,1,72,18,9,12,0,40,1,186,94,42
0,1985,0,75,3,70,60,9,63,2,81,2,182,216,50
41,1985,0,252,3,64,74,10,50,1,131,0,172,457,72
17,1980,0,80,3,78,69,4,63,0,86,1,182,235,23
55,1981,0,244,0,70,82,0,12,0,87,1,175,413,58
65,1985,1,142,1,74,95,2,42,0,96,0,180,333,55
17,1985,0,52,3,70,27,8,12,0,24,0,167,103,20
6,1984,0,154,3,70,72,9,75,1,73,2,172,299,83
74,1981,0,245,3,76,149,10,41,3,158,2,180,552,50
11,1990,0,113,0,62,57,0,25,0,63,1,168,233,43
76,1981,0,298,0,64,144,8,74,1,146,0,173,588,43
0,1987,0,195,0,80,74,5,10,0,81,0,191,350,46
0,1990,0,22,3,85,4,5,1,0,15,0,195,41,10
26,1991,1,114,2,89,45,4,24,1,68,1,193,227,31
3,1986,0,58,0,69,53,4,22,0,56,1,180,167,89
28,1983,1,42,2,75,35,8,18,0,53,0,180,130,85
2,1987,1,127,0,83,50,1,26,0,63,1,191,240,6
14,1987,0,87,2,80,56,4,38,0,80,1,190,223,69
6,1986,0,89,2,75,53,6,23,1,84,1,183,226,33
62,1980,0,365,0,77,152,6,36,1,205,0,185,722,34
4,1987,1,34,1,69,18,9,15,2,37,0,184,89,77
29,1992,0,31,0,79,8,2,8,0,14,1,185,53,46
7,1987,1,208,0,86,79,3,64,3,68,1,188,355,21
20,1981,0,337,0,75,127,1,37,1,129,0,190,593,79
0,1986,0,62,0,97,55,5,5,1,58,0,193,175,52
64,1980,0,436,0,75,140,1,97,3,120,2,184,696,21
88,1982,1,186,1,82,102,11,33,2,143,0,179,431,49
37,1983,0,269,0,72,99,1,87,1,104,4,180,472,27
33,1982,0,242,0,83,121,1,30,0,110,0,188,473,46
1,1993,0,29,0,76,7,9,12,0,9,0,180,45,43
106,1984,0,129,3,73,66,2,36,5,95,2,181,290,83
35,1992,0,77,2,67,33,10,17,0,53,0,176,163,16
10,1983,0,85,1,72,65,6,40,1,85,2,179,235,5
5,1990,0,52,3,74,19,3,13,1,21,1,172,92,29
0,1991,0,4,1,82,1,5,1,0,4,0,183,9,49
23,1990,1,49,0,76,29,2,10,0,47,0,183,125,80
45,1986,1,135,1,56,74,7,21,0,107,1,176,316,77
44,1990,0,80,2,77,47,10,5,0,64,0,179,191,69
4,1989,1,10,1,69,17,4,5,0,24,0,178,51,49
22,1989,0,45,3,65,28,11,22,3,41,1,171,114,83
0,1986,0,49,3,78,33,1,27,1,48,0,186,130,20
2,1978,0,149,1,84,122,9,86,5,104,5,190,375,82
9,1988,0,150,0,77,44,1,27,3,61,0,188,255,47
24,1991,1,67,1,81,42,11,24,1,53,2,182,162,56
22,1990,0,117,0,67,52,10,26,1,83,0,182,252,43
21,1989,0,134,3,69,56,6,58,1,60,1,170,250,29
1,1992,0,51,3,80,17,1,39,1,49,1,184,117,60
0,1982,0,25,3,87,21,5,2,0,30,0,189,76,35
81,1982,0,71,3,87,38,2,16,2,77,0,188,186,62
10,1982,0,74,1,69,43,4,18,2,51,1,178,168,49
9,1983,0,71,0,74,32,1,20,0,36,0,191,139,73
2,1989,0,45,3,77,34,6,28,1,54,2,182,133,65
49,1987,0,121,3,73,51,2,24,0,59,1,179,231,63
2,1993,0,27,3,72,8,3,7,0,23,0,179,58,72
14,1987,0,45,3,68,26,0,15,0,59,0,177,130,60
4,1986,0,113,0,82,67,6,17,0,73,1,184,253,43
14,1977,0,93,3,82,63,1,52,4,96,1,185,252,59
9,1982,0,68,1,63,50,4,23,1,64,3,170,182,84
27,1990,0,30,2,80,24,2,9,1,41,0,191,95,2
86,1986,1,124,2,81,60,2,17,0,79,1,184,263,87
11,1992,1,40,0,74,28,2,4,0,38,0,180,106,13
5,1979,0,163,2,66,69,4,74,3,93,1,170,325,86
36,1986,0,66,3,77,59,7,26,0,77,2,179,202,26
118,1980,0,181,2,76,145,0,46,3,210,0,180,536,15
3,1993,0,48,3,67,15,6,6,0,21,0,172,84,83
3,1990,0,25,3,68,17,7,9,2,40,0,176,82,62
9,1990,0,61,3,71,32,3,16,0,39,1,181,132,23
20,1982,0,90,3,80,74,4,69,1,120,2,185,284,35
3,1987,0,27,2,87,18,1,5,0,21,0,192,66,33
10,1976,0,207,3,78,127,6,121,8,153,7,183,487,41
19,1985,0,164,3,72,89,9,61,1,113,1,180,366,10
4,1988,1,31,3,72,18,11,5,0,43,0,179,92,63
19,1982,0,85,3,70,55,10,62,1,105,4,179,245,37
16,1993,0,34,3,63,22,2,9,0,34,1,170,90,50
5,1988,0,105,2,82,67,4,49,1,80,4,183,252,1
39,1993,0,95,2,74,31,0,19,0,48,0,185,174,31
5,1992,0,65,2,69,30,9,22,1,46,0,177,141,15
6,1991,0,62,2,73,28,6,8,0,43,0,183,133,11
50,1989,0,95,2,83,49,2,14,0,49,2,188,193,16
20,1985,0,105,2,78,52,4,41,0,81,0,190,238,69
39,1982,0,72,1,73,52,10,12,0,81,0,186,205,77
14,1986,0,36,1,65,43,8,9,0,50,0,168,129,30
10,1980,0,109,1,73,104,4,40,1,125,1,181,338,68
107,1981,1,180,3,72,79,0,33,1,92,1,183,351,50
0,1979,0,240,0,79,89,5,17,3,83,0,186,412,58
10,1983,1,107,2,76,49,6,37,1,66,2,185,222,1
42,1988,1,78,2,78,30,2,19,1,50,0,181,158,11
0,1975,0,171,0,80,137,5,28,4,216,0,193,524,89
57,1983,0,129,1,76,99,8,31,1,75,0,180,303,36
161,1982,0,318,3,78,102,0,44,0,77,2,186,497,63
13,1987,1,39,1,76,23,4,27,1,47,2,192,109,32
11,1982,0,67,1,70,54,7,40,0,96,1,181,217,75
16,1989,0,49,1,65,28,8,12,0,34,1,175,111,49
24,1990,0,48,2,76,30,11,15,0,46,0,183,124,11
185,1987,0,280,3,79,81,2,10,0,70,0,187,431,63
9,1985,1,38,2,85,34,4,21,2,45,2,184,117,69
21,1984,0,133,2,86,85,1,56,3,111,2,190,329,39
28,1985,0,117,2,75,65,11,38,0,96,2,181,278,25
34,1986,0,62,2,77,44,2,18,0,66,0,183,172,33
91,1984,1,127,0,78,82,11,16,2,158,0,188,367,78
0,1992,0,0,3,70,2,0,2,0,6,0,178,8,67
33,1991,0,86,2,76,40,0,13,0,62,2,181,188,87
102,1987,0,118,1,64,84,11,7,0,82,0,170,284,57
54,1988,0,177,2,72,66,8,33,1,72,0,186,315,16
79,1987,0,154,0,75,89,11,36,2,92,0,182,335,27
13,1991,0,67,2,90,23,4,30,1,42,1,185,132,86
12,1993,0,44,2,70,35,0,19,0,31,1,175,110,85
3,1989,1,52,1,77,34,9,14,0,48,0,180,134,77
0,1990,0,76,2,83,40,5,5,2,58,0,189,174,25
7,1991,0,67,2,80,39,4,24,2,50,1,194,156,28
58,1992,0,73,2,74,40,8,25,1,67,0,179,180,2
2,1989,0,20,3,75,17,6,14,0,24,1,176,61,59
5,1989,0,98,0,64,35,6,14,1,35,0,178,168,6
37,1984,1,121,0,69,64,7,63,0,114,1,175,299,34
38,1978,0,141,0,65,75,0,7,2,116,0,171,332,58
0,1986,0,50,3,84,42,5,14,3,61,0,191,153,26
56,1986,1,69,2,94,42,2,5,0,67,0,191,178,71
277,1983,0,249,2,78,86,2,43,2,114,2,186,449,31
5,1990,1,8,2,68,10,2,4,0,22,0,174,40,28
0,1992,0,27,2,83,20,5,3,1,31,0,196,78,2
15,1992,0,120,3,74,34,4,28,0,38,0,178,192,10
22,1993,0,55,2,76,15,3,17,0,28,1,181,98,11
20,1981,1,295,0,76,129,1,44,1,94,2,183,518,46
14,1990,0,91,2,78,52,7,21,0,82,0,182,225,39
5,1994,0,40,2,79,18,1,7,1,29,1,184,87,16
225,1988,0,246,0,74,99,2,56,3,117,1,172,462,46
8,1988,1,97,0,73,52,9,27,0,68,0,180,217,80
5,1990,0,113,0,73,59,9,32,0,54,0,178,226,80
13,1992,0,75,2,85,24,1,34,1,41,2,183,140,31
10,1980,0,68,3,78,38,1,26,2,69,1,185,175,60
34,1984,0,83,3,75,69,10,42,1,112,0,188,264,35
0,1989,1,26,1,74,20,9,16,0,28,1,181,74,30
7,1985,1,112,1,70,76,0,42,0,79,2,173,267,36
26,1989,0,128,2,77,65,4,32,0,84,1,184,277,11
39,1988,0,96,2,78,55,0,58,0,96,2,180,247,39
0,1990,0,60,2,100,27,5,4,0,42,0,198,129,31
13,1985,1,38,1,73,33,8,17,0,52,2,183,123,75
12,1991,0,62,2,88,32,1,10,0,59,0,196,153,74
3,1985,0,60,3,68,36,9,41,0,55,2,166,151,23
2,1979,0,101,1,62,89,6,15,0,83,1,170,273,42
20,1985,0,135,0,75,52,1,36,3,60,2,185,247,6
0,1982,0,12,1,76,4,5,1,0,16,0,184,32,49
9,1988,0,85,0,76,70,4,76,4,101,3,178,256,79
34,1984,0,205,0,74,118,6,52,0,137,1,170,460,27
0,1977,0,184,3,79,111,5,29,4,151,0,188,446,67
22,1983,0,84,2,81,31,4,33,2,57,3,188,172,39
10,1988,0,52,2,81,39,1,33,1,63,0,190,154,33
13,1985,1,95,0,71,60,1,37,2,101,3,186,256,52
56,1981,0,184,0,68,101,10,42,0,121,0,172,406,27
11,1994,0,26,2,67,6,0,4,0,13,0,169,45,87
54,1990,0,125,2,72,52,0,25,0,76,0,176,253,31
20,1984,0,115,0,64,105,1,58,2,125,0,177,345,88
0,1988,0,11,3,81,16,1,15,0,17,0,188,44,65
0,1979,0,14,1,74,15,5,1,2,16,0,182,45,75
387,1987,0,338,3,67,96,11,41,1,64,0,169,498,29
152,1983,0,172,1,72,79,2,33,1,73,0,175,324,55
31,1990,0,94,2,79,30,0,12,0,44,0,180,168,16
131,1985,0,161,3,94,81,2,21,0,137,0,195,379,9
56,1979,0,77,3,72,46,2,38,1,82,3,185,205,18
0,1989,1,0,1,76,3,9,2,0,9,0,182,12,55
89,1987,1,104,1,66,73,11,14,3,82,0,184,259,56
9,1984,0,63,3,72,38,1,32,1,66,1,182,167,18
0,1993,0,21,2,75,10,5,1,0,19,0,189,50,1
122,1978,1,201,0,75,116,2,20,1,124,0,184,441,79
11,1987,0,159,0,74,60,3,49,2,68,2,179,287,43
5,1990,0,37,1,81,22,6,15,1,39,0,183,98,56
12,1994,0,25,0,75,13,8,5,0,16,0,182,54,21
10,1983,0,65,3,72,32,0,21,2,47,1,177,144,67
1,1982,0,17,3,81,10,4,5,0,16,0,186,43,37
13,1987,0,64,1,78,42,6,21,1,54,1,178,160,55
133,1976,0,294,1,62,151,11,45,3,158,0,164,603,30
48,1984,0,144,1,68,117,0,48,4,118,0,171,379,36
234,1987,0,209,0,81,87,11,84,2,102,0,182,398,43
13,1987,1,159,2,80,44,4,63,1,55,6,187,258,12
34,1985,0,189,3,65,80,0,41,0,83,0,174,352,63
186,1985,0,234,0,80,98,2,56,2,142,1,180,474,6
0,1993,0,57,2,86,9,5,3,0,11,0,194,77,12
23,1991,0,65,2,73,42,11,9,0,44,1,178,151,15
7,1988,0,71,2,80,41,6,26,1,55,2,184,167,87
0,1985,0,60,0,84,15,5,1,0,29,0,190,104,6
23,1985,0,137,2,78,67,9,10,0,82,0,184,286,16
9,1979,0,165,0,78,113,9,67,0,171,0,183,449,58
3,1991,0,26,3,68,13,6,15,1,37,2,177,76,72
64,1990,0,92,2,86,40,2,14,0,65,0,188,197,15
29,1981,1,227,0,76,97,4,74,0,89,3,183,413,34
38,1981,1,257,0,77,99,9,70,2,77,2,184,433,46
6,1982,0,50,3,80,40,1,32,1,68,1,187,158,37
8,1984,0,112,2,72,62,10,26,2,73,1,180,247,86
11,1990,1,104,1,82,61,1,23,4,51,0,187,216,57
65,1987,1,70,2,79,36,8,21,1,63,1,185,169,39
5,1981,0,75,3,72,43,6,50,1,80,0,175,198,35
53,1984,0,103,3,77,70,2,26,2,110,0,185,283,72
36,1983,1,52,3,83,60,2,16,0,61,2,187,173,66
35,1979,0,194,2,87,99,1,56,0,128,1,189,421,11
8,1984,0,90,3,65,56,4,68,4,93,5,174,239,50
0,1986,0,273,2,92,70,5,12,0,81,0,193,424,12
2,1976,0,196,3,80,104,9,50,1,138,1,176,438,23
17,1988,0,105,2,70,44,4,40,1,87,1,170,236,39
4,1989,1,97,1,77,49,1,37,1,67,3,184,213,49
0,1992,0,85,2,85,45,5,10,0,47,0,189,177,15
56,1981,1,132,0,81,88,2,8,1,113,0,182,333,88
3,1982,0,61,3,78,53,9,43,1,77,1,181,191,18
6,1991,0,76,2,76,39,1,13,1,54,0,188,169,16
6,1982,0,154,1,76,105,1,56,7,78,0,183,337,36
11,1995,0,16,2,64,6,0,9,0,15,0,171,37,25
4,1987,0,54,3,71,52,1,28,1,59,1,184,165,66
2,1987,0,71,0,80,48,1,34,1,81,0,188,200,78
0,1976,0,75,2,85,46,5,6,0,64,0,194,185,85
9,1986,0,74,2,73,60,6,37,0,83,1,174,217,28
11,1991,0,76,2,82,36,1,24,1,55,1,186,167,16
22,1984,0,163,2,75,79,6,23,0,124,1,184,366,86
4,1988,0,149,2,74,60,6,31,1,52,1,181,261,16
30,1985,0,145,2,89,76,7,32,0,106,0,191,327,38
0,1993,0,12,3,81,5,1,7,1,8,0,192,25,19
20,1979,0,250,3,78,130,1,144,4,129,10,183,509,23
13,1984,0,86,2,75,63,4,25,0,91,0,180,240,1
20,1983,0,109,1,71,32,4,55,1,60,1,175,201,49
16,1989,0,71,2,78,28,4,23,0,35,0,186,134,31
98,1989,0,126,2,67,60,8,35,0,84,0,180,270,16
19,1985,0,91,2,75,67,1,53,1,94,1,190,252,86
21,1991,0,38,2,74,28,2,8,0,52,0,176,118,69
2,1992,0,86,1,60,28,0,40,1,30,4,165,144,57
3,1983,0,53,2,87,41,1,25,0,43,0,187,137,0
94,1986,0,119,2,76,52,2,26,1,70,0,184,241,38
0,1994,0,3,2,83,0,5,1,0,6,0,186,9,39
8,1986,1,118,1,69,65,9,38,1,69,0,177,252,36
3,1982,0,63,3,75,33,1,30,1,64,5,178,160,62
101,1990,1,136,0,88,63,2,76,3,54,5,189,253,46
23,1981,0,139,2,84,70,1,46,0,119,1,189,328,39
67,1992,0,140,2,64,41,0,10,1,32,0,176,213,16
251,1985,0,254,2,88,86,2,36,0,113,1,189,453,12
122,1986,0,162,2,84,53,2,52,1,67,1,187,282,12
10,1987,0,123,3,80,45,4,61,0,54,2,188,222,10
37,1987,0,129,0,70,71,4,61,0,118,3,180,318,89
0,1972,0,279,0,85,184,5,12,1,259,0,194,722,34
1,1986,0,67,3,78,31,4,32,1,42,3,181,140,65
44,1989,0,79,2,83,51,11,26,2,83,2,192,213,87
21,1982,0,127,1,75,90,1,30,2,71,2,189,288,42
33,1989,0,119,0,63,70,0,28,0,87,0,170,276,21
41,1982,0,124,2,82,73,0,52,1,103,0,181,300,0
0,1982,0,89,2,92,50,5,6,0,89,0,189,228,39
90,1982,0,147,0,76,69,2,36,0,121,1,185,337,88
95,1984,0,175,0,70,105,2,63,2,119,2,185,399,6
51,1987,0,147,0,85,93,4,81,2,84,4,194,324,27
11,1975,0,179,3,76,86,4,93,1,148,1,180,413,59
15,1982,0,113,2,85,50,1,19,0,84,1,194,247,25
31,1980,0,270,3,80,95,1,102,5,96,2,184,461,50
96,1987,0,130,2,73,69,2,38,0,126,3,185,325,85
3,1990,0,41,0,77,15,1,6,0,17,0,191,73,43
30,1984,0,125,2,79,51,4,69,0,99,2,190,275,25
3,1991,0,80,3,74,23,9,17,0,26,0,174,129,29
22,1984,0,165,0,81,84,1,69,1,98,1,191,347,43
22,1980,0,178,2,83,112,1,70,5,145,4,190,435,15
8,1985,0,101,2,75,56,1,33,2,84,2,185,241,2
